Model,Time1,Time2,Status
bayesglm,1.626,0.0271,success
glm,0.872999999999999,0.01455,success
blackboost,142.465,2.37441666666667,success
cforest,981.693,16.36155,success
ctree,3.47499999999991,0.0579166666666652,success
ctree2,8.55299999999988,0.142549999999998,success
BstLm,6.70899999999983,0.111816666666664,success
bstSm,297.655,4.96091666666667,success
bstTree,105.844,1.76406666666667,success
C5.0,60.8920000000001,1.01486666666667,success
C5.0Cost,115.108,1.91846666666667,success
C5.0Rules,4.86699999999996,0.081116666666666,success
C5.0Tree,4.827,0.08045,success
CSimca,2.55199999999991,0.0425333333333318,success
Linda,27.895,0.464916666666666,success
QdaCov,18.1219999999998,0.302033333333331,success
rda,23.9679999999998,0.399466666666664,success
dnn,231.3,3.855,success
dwdLinear,2.12300000000005,0.0353833333333341,success
dwdPoly,3227.328,53.7888,success
dwdRadial,359.585999999999,5.99309999999999,success
gaussprLinear,4729.178,78.8196333333333,success
gaussprPoly,2881.351,48.0225166666666,success
gaussprRadial,92.6380000000008,1.54396666666668,success
lssvmLinear,14.8439999999991,0.247399999999986,success
lssvmRadial,96.8539999999994,1.61423333333332,success
svmLinear,5.10200000000077,0.0850333333333462,success
svmPoly,124.545,2.07575,success
svmRadial,11.6350000000002,0.19391666666667,success
svmRadialCost,11.393,0.189883333333334,success
svmRadialSigma,35.6419999999998,0.59403333333333,success
svmRadialWeights,29.639000000001,0.493983333333351,success
evtree,1198.767,19.97945,success
FH.GBML,59556.605,992.610083333333,success
FRBCS.CHI,28375.781,472.929683333333,success
bayesglm,1.451,0.0241833333333333,success
glm,0.946000000000001,0.0157666666666667,success
blackboost,88.306,1.47176666666667,success
cforest,1084.619,18.0769833333333,success
ctree,4.21800000000007,0.0703000000000012,success
ctree2,8.62999999999988,0.143833333333331,success
BstLm,6.65699999999993,0.110949999999999,success
bstSm,294.825,4.91375,success
bstTree,106.64,1.77733333333333,success
C5.0,94.057,1.56761666666667,success
C5.0Cost,175.392,2.9232,success
C5.0Rules,5.32899999999995,0.0888166666666658,success
C5.0Tree,5.62200000000007,0.0937000000000012,success
CSimca,1.82200000000012,0.0303666666666686,success
Linda,28.21,0.470166666666667,success
QdaCov,18.432,0.3072,success
rda,23.3299999999999,0.388833333333332,success
dnn,233.304,3.8884,success
dwdLinear,1.97500000000036,0.0329166666666727,success
dwdPoly,2028.238,33.8039666666667,success
dwdRadial,238.007000000001,3.96678333333334,success
gaussprLinear,5459.074,90.9845666666667,success
bayesglm,2.445,0.04075,success
glm,0.978999999999999,0.0163166666666667,success
blackboost,94.473,1.57455,success
cforest,1041.29,17.3548333333333,success
ctree,3.86400000000003,0.0644000000000005,success
ctree2,8.92599999999993,0.148766666666666,success
BstLm,6.57199999999989,0.109533333333331,success
bstSm,274.565,4.57608333333333,success
bstTree,104.648,1.74413333333333,success
C5.0,81.931,1.36551666666667,success
C5.0Cost,154.574,2.57623333333333,success
C5.0Rules,5.01099999999997,0.0835166666666661,success
C5.0Tree,4.77999999999997,0.0796666666666662,success
CSimca,2.20500000000015,0.0367500000000026,success
Linda,32.7809999999999,0.546349999999999,success
QdaCov,23.2760000000001,0.387933333333334,success
rda,23.4099999999999,0.390166666666664,success
dnn,230.651,3.84418333333333,success
dwdLinear,2.22299999999996,0.0370499999999993,success
dwdPoly,2236.515,37.27525,success
dwdRadial,253.172,4.21953333333334,success
gaussprLinear,15535.069,258.917816666667,success
gaussprRadial,140.659000000003,2.34431666666672,success
lssvmRadial,112.058999999997,1.86764999999996,success
svmLinear,6.9910000000018,0.116516666666697,success
svmPoly,182.696,3.04493333333333,success
svmRadial,20.380000000001,0.339666666666684,success
svmRadialCost,19.7439999999988,0.329066666666646,success
svmRadialSigma,60.4279999999999,1.00713333333333,success
svmRadialWeights,55.2829999999994,0.921383333333324,success
evtree,2244.236,37.4039333333333,success
FRBCS.CHI,26154.153,435.90255,success
FRBCS.W,26138.501,435.641683333333,success
gamboost,19.9990000000107,0.333316666666845,success
gamLoess,178.72099999999,2.97868333333317,success
gamSpline,69.0389999999898,1.15064999999983,success
gbm,10.8129999999946,0.180216666666577,success
glmnet,13.9800000000105,0.233000000000175,success
glmboost,2.41500000000815,0.0402500000001358,success
glmStepAIC,13.8580000000075,0.230966666666791,success
lda,0.592000000004191,0.00986666666673652,success
lda2,0.6019999999844,0.0100333333330733,success
qda,0.554999999993015,0.00924999999988358,success
hda,119.56700000001,1.9927833333335,success
hdda,1.762000000017,0.0293666666669499,success
J48,19.362999999983,0.322716666666383,success
JRip,158.818999999989,2.64698333333314,success
LMT,28.8520000000135,0.480866666666892,success
OneR,1.56500000000233,0.0260833333333721,success
PART,17.9079999999958,0.298466666666597,success
kernelpls,0.927999999985332,0.0154666666664222,success
simpls,1.22200000000885,0.0203666666668141,success
widekernelpls,445.982000000018,7.43303333333364,success
kknn,24.0809999999765,0.401349999999608,success
knn,3.18799999999464,0.0531333333332441,success
stepLDA,44.7060000000056,0.745100000000093,success
stepQDA,44.2190000000119,0.736983333333531,success
LogitBoost,4.49099999997998,0.0748499999996663,success
lvq,8.89699999999721,0.148283333333287,success
Mlda,1.05199999999604,0.0175333333332674,success
RFlda,3.07099999999627,0.0511833333332712,success
mlp,20.0409999999974,0.334016666666624,success
mlpML,20.1520000000019,0.335866666666698,success
mlpWeightDecay,63.6760000000068,1.06126666666678,success
mlpWeightDecayML,64.0679999999993,1.06779999999999,success
monmlp,233.679999999993,3.89466666666655,success
msaenet,1774.05499999999,29.5675833333332,success
naive_bayes,1.87799999999697,0.0312999999999496,success
ordinalNet,3887.13800000001,64.7856333333334,success
parRF,75.5009999999893,1.25834999999982,success
ranger,34.2439999999769,0.570733333332949,success
svmLinear2,26.4500000000116,0.440833333333527,success
svmLinearWeights,82.8450000000012,1.38075000000002,success
ownn,331.532999999996,5.52554999999993,success
snn,454.800000000017,7.58000000000029,success
