Model,Time1,Time2,Status
vglmCumulative,5.00399999999991,0.0833999999999984,success
wsrf,9.48899999999958,0.158149999999993,success
xgbLinear,6.04600000000028,0.100766666666671,success
xyf,4.0010000000002,0.0666833333333367,success
vglmContRatio,4.34100000000001,0.0723500000000001,success
vglmCumulative,5.331,0.0888500000000001,success
wsrf,8.89699999999999,0.148283333333333,success
xgbLinear,5.431,0.0905166666666666,success
xyf,3.25399999999999,0.0542333333333332,success
vglmAdjCat,2.16800000000001,0.0361333333333334,success
vglmContRatio,19.278,0.321299999999999,success
vglmCumulative,15.013,0.250216666666666,success
wsrf,19.412,0.323533333333334,success
xgbLinear,15.511,0.258516666666667,success
xyf,10.766,0.179433333333334,success
vglmAdjCat,1.54499999999996,0.0257499999999993,success
vglmContRatio,11.766,0.196099999999999,success
vglmCumulative,13.5980000000001,0.226633333333334,success
wsrf,22.548,0.3758,success
xgbLinear,13.3109999999999,0.221849999999999,success
xyf,9.59800000000007,0.159966666666668,success
vglmAdjCat,1.45699999999999,0.0242833333333332,success
vglmContRatio,10.663,0.177716666666667,success
vglmCumulative,11.3249999999999,0.188749999999999,success
wsrf,18.3580000000001,0.305966666666668,success
vglmAdjCat,2.28300000000002,0.0380500000000003,success
vglmContRatio,14.28,0.238,success
vglmCumulative,15.002,0.250033333333333,success
wsrf,28.645,0.477416666666666,success
xgbLinear,23.7,0.395,success
xyf,12.08,0.201333333333334,success
vglmAdjCat,2.73399999999992,0.0455666666666654,success
vglmContRatio,13.337,0.222283333333333,success
vglmCumulative,11.681,0.194683333333334,success
wsrf,18.621,0.31035,success
xgbLinear,13.289,0.221483333333333,success
xyf,9.28600000000006,0.154766666666668,success
